"filename", "language", "Python", "CSS", "JavaScript", "XML", "JSON", "Markdown", "pip requirements", "log", "HTML", "Properties", "comment", "blank", "total"
"c:\PFE_PROJECT\ReactJs\elite\src\index.js", "JavaScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"c:\PFE_PROJECT\ReactJs\elite\src\logo.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\PFE_PROJECT\ReactJs\elite\src\reportWebVitals.js", "JavaScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\PFE_PROJECT\ReactJs\elite\src\setupProxy.js", "JavaScript", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 3, 22
"c:\PFE_PROJECT\ReactJs\elite\src\setupTests.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 4, 1, 6
"c:\PFE_PROJECT\ReactJs\elite\src\styles\admin.css", "CSS", 0, 1736, 0, 0, 0, 0, 0, 0, 0, 0, 32, 325, 2093
"c:\PFE_PROJECT\ReactJs\elite\src\styles\adminmaster.css", "CSS", 0, 1537, 0, 0, 0, 0, 0, 0, 0, 0, 19, 299, 1855
"c:\PFE_PROJECT\ReactJs\elite\src\styles\auth.css", "CSS", 0, 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 90
"c:\PFE_PROJECT\ReactJs\elite\src\styles\category-manager.css", "CSS", 0, 1159, 0, 0, 0, 0, 0, 0, 0, 0, 31, 203, 1393
"c:\PFE_PROJECT\ReactJs\elite\src\styles\contacts.css", "CSS", 0, 787, 0, 0, 0, 0, 0, 0, 0, 0, 9, 131, 927
"c:\PFE_PROJECT\ReactJs\elite\src\styles\dashboard.css", "CSS", 0, 320, 0, 0, 0, 0, 0, 0, 0, 0, 13, 66, 399
"c:\PFE_PROJECT\ReactJs\elite\src\styles\emoji-picker.css", "CSS", 0, 91, 0, 0, 0, 0, 0, 0, 0, 0, 8, 17, 116
"c:\PFE_PROJECT\ReactJs\elite\src\styles\forms.css", "CSS", 0, 210, 0, 0, 0, 0, 0, 0, 0, 0, 2, 34, 246
"c:\PFE_PROJECT\ReactJs\elite\src\styles\global.css", "CSS", 0, 88, 0, 0, 0, 0, 0, 0, 0, 0, 2, 19, 109
"c:\PFE_PROJECT\ReactJs\elite\src\styles\groupchat.css", "CSS", 0, 3214, 0, 0, 0, 0, 0, 0, 0, 0, 43, 544, 3801
"c:\PFE_PROJECT\ReactJs\elite\src\styles\index.css", "CSS", 0, 366, 0, 0, 0, 0, 0, 0, 0, 0, 10, 84, 460
"c:\PFE_PROJECT\ReactJs\elite\src\styles\messages.css", "CSS", 0, 282, 0, 0, 0, 0, 0, 0, 0, 0, 4, 46, 332
"c:\PFE_PROJECT\ReactJs\elite\src\styles\messaging.css", "CSS", 0, 2550, 0, 0, 0, 0, 0, 0, 0, 0, 48, 439, 3037
"c:\PFE_PROJECT\ReactJs\elite\src\styles\panels.css", "CSS", 0, 72, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15, 88
"c:\PFE_PROJECT\ReactJs\elite\src\styles\search-results-list.css", "CSS", 0, 80, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17, 98
"c:\PFE_PROJECT\ReactJs\elite\src\styles\search.css", "CSS", 0, 104, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19, 126
"c:\PFE_PROJECT\ReactJs\elite\src\styles\security.css", "CSS", 0, 206, 0, 0, 0, 0, 0, 0, 0, 0, 5, 44, 255
"c:\PFE_PROJECT\ReactJs\elite\src\styles\settings.css", "CSS", 0, 640, 0, 0, 0, 0, 0, 0, 0, 0, 18, 126, 784
"c:\PFE_PROJECT\ReactJs\elite\src\styles\sidebar.css", "CSS", 0, 1004, 0, 0, 0, 0, 0, 0, 0, 0, 13, 127, 1144
"c:\PFE_PROJECT\ReactJs\elite\src\styles\tasks.css", "CSS", 0, 867, 0, 0, 0, 0, 0, 0, 0, 0, 8, 157, 1032
"c:\PFE_PROJECT\ReactJs\elite\src\utils\axiosConfig.js", "JavaScript", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 5, 7, 36
"c:\PFE_PROJECT\ReactJs\elite\src\utils\titleManager.js", "JavaScript", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 22, 10, 67
"c:\PFE_PROJECT\ReactJs\elite\test_admin_api.py", "Python", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 8, 48
"c:\PFE_PROJECT\ReactJs\elite\test_admin_users_api.py", "Python", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 8, 48
"c:\PFE_PROJECT\ReactJs\elite\test_signup.py", "Python", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 26
"c:\PFE_PROJECT\ReactJs\elite\test_signup_admin_panel.py", "Python", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 27
"Total", "-", 2525, 15406, 10576, 1, 17950, 138, 11, 485, 25, 3, 1391, 4627, 53138
